term,E,P,A,E2,P2,A2
abandoned,-3.32,-0.56,-1.61,-3.32,-0.56,-1.61
able_bodied,3.00,2.80,1.70,3.00,2.80,1.70
absentminded,-1.63,-1.73,-1.61,-1.63,-1.73,-1.61
abusive,-3.75,1.22,1.85,-3.75,1.22,1.85
abusive_physically,-3.73,0.61,2.01,-3.73,0.61,2.01
abusive_verbally,-3.32,1.40,2.20,-3.32,1.40,2.20
accommodating,2.50,1.36,-0.35,2.50,1.36,-0.35
acquiescent,0.64,-0.43,-0.97,0.64,-0.43,-0.97
active,2.84,2.33,2.64,2.84,2.33,2.64
adaptive,2.85,2.76,0.68,2.85,2.76,0.68
adventurous,2.57,2.27,2.26,2.57,2.27,2.26
affable,1.29,0.86,0.63,1.29,0.86,0.63
affected,0.04,0.58,0.15,0.04,0.58,0.15
affectionate,2.59,1.83,-1.05,2.59,1.83,-1.05
afraid,-1.91,-1.04,-0.73,-1.91,-1.04,-0.73
aggravated,-2.45,-0.25,0.92,-2.45,-0.25,0.92
aggressive,-0.86,1.42,2.21,-0.86,1.42,2.21
aggrieved,-1.44,-0.36,-0.45,-1.44,-0.36,-0.45
agitated,-2.05,-0.70,1.15,-2.05,-0.70,1.15
agonized,-2.78,-0.94,-0.17,-2.78,-0.94,-0.17
agreeable,1.98,1.04,-0.50,1.98,1.04,-0.50
aimless,-1.54,-2.01,-1.52,-1.54,-2.01,-1.52
alarmed,-1.37,0.27,1.58,-1.37,0.27,1.58
alert,2.27,1.92,0.87,2.27,1.92,0.87
aloof,-0.85,-1.23,-1.28,-0.85,-1.23,-1.28
ambitious,2.72,2.53,1.38,2.72,2.53,1.38
amorous,1.67,1.43,0.55,1.67,1.43,0.55
amused,2.52,1.49,0.93,2.52,1.49,0.93
amusing,2.43,1.72,1.87,2.43,1.72,1.87
angry,-1.79,0.65,1.96,-1.79,0.65,1.96
anguished,-1.93,-0.70,-0.86,-1.93,-0.70,-0.86
annoyed,-2.13,-0.47,0.58,-2.13,-0.47,0.58
annoying,-2.06,0.40,1.89,-2.06,0.40,1.89
antisocial,-1.62,-1.77,-2.53,-1.62,-1.77,-2.53
anxious,-1.68,-1.01,0.48,-1.68,-1.01,0.48
apathetic,-1.21,-0.75,-1.86,-1.21,-0.75,-1.86
appalled,-1.29,-0.21,0.42,-1.29,-0.21,0.42
appreciative,3.24,2.43,-0.06,3.24,2.43,-0.06
apprehensive,-1.58,-0.55,-0.76,-1.58,-0.55,-0.76
aroused,2.10,1.81,1.17,2.10,1.81,1.17
arrogant,-2.43,-0.31,1.96,-2.43,-0.31,1.96
artistic,2.48,1.56,0.73,2.48,1.56,0.73
artistical,2.26,1.13,-0.65,2.26,1.13,-0.65
ashamed,-2.29,-0.33,-1.73,-2.29,-0.33,-1.73
assertive,1.24,2.29,1.88,1.24,2.29,1.88
astonished,0.79,0.68,0.96,0.79,0.68,0.96
at_ease,2.87,1.95,-2.13,2.87,1.95,-2.13
attentive,2.75,2.09,-0.78,2.75,2.09,-0.78
attractive,2.31,2.27,0.80,2.31,2.27,0.80
audacious,0.50,1.30,1.80,0.50,1.30,1.80
authoritarian,-0.48,2.28,1.14,-0.48,2.28,1.14
autonomous,0.91,1.62,0.26,0.91,1.62,0.26
average,-0.67,-1.20,-0.87,-0.67,-1.20,-0.87
awe_struck,1.55,0.87,0.16,1.55,0.87,0.16
awkward,-0.73,-1.00,-1.14,-0.73,-1.00,-1.14
bad,-3.16,0.73,1.02,-3.16,0.73,1.02
bad_tempered,-2.75,-0.51,2.00,-2.75,-0.51,2.00
beautiful,2.37,2.41,0.45,2.37,2.41,0.45
belligerent,-2.33,-0.39,2.17,-2.33,-0.39,2.17
benevolent,2.53,1.82,-0.02,2.53,1.82,-0.02
betrayed,-3.46,0.97,-0.08,-3.46,0.97,-0.08
big,0.67,2.10,0.10,0.67,2.10,0.10
bitchy,-2.70,0.16,2.53,-2.70,0.16,2.53
bitter,-2.32,-0.91,-0.58,-2.32,-0.91,-0.58
black,0.75,0.26,0.98,0.75,0.26,0.98
blue,-2.30,-1.47,-2.05,-2.30,-1.47,-2.05
bold,2.31,2.63,1.96,2.31,2.63,1.96
bored,-1.97,-0.83,-2.18,-1.97,-0.83,-2.18
boring,-1.72,-1.78,-2.53,-1.72,-1.78,-2.53
bossy,-1.41,1.22,1.92,-1.41,1.22,1.92
brave,3.11,3.12,1.46,3.11,3.12,1.46
bright,2.80,2.70,1.25,2.80,2.70,1.25
broad_minded,2.46,2.17,0.15,2.46,2.17,0.15
broken_hearted,-3.06,-0.52,-1.65,-3.06,-0.52,-1.65
bullheaded,-1.43,0.57,1.18,-1.43,0.57,1.18
calm,2.84,1.94,-2.35,2.84,1.94,-2.35
candid,1.51,1.28,0.77,1.51,1.28,0.77
cantankerous,-1.23,-0.27,1.12,-1.23,-0.27,1.12
captivated,1.54,1.13,0.64,1.54,1.13,0.64
carefree,1.62,0.84,0.04,1.62,0.84,0.04
careful,1.89,1.25,-1.43,1.89,1.25,-1.43
careless,-2.43,-0.87,0.73,-2.43,-0.87,0.73
caring,3.28,2.77,-0.57,3.28,2.77,-0.57
cautious,2.05,0.93,-1.58,2.05,0.93,-1.58
charmed,1.80,1.34,0.31,1.80,1.34,0.31
charming,2.30,2.21,0.49,2.30,2.21,0.49
cheerful,3.15,2.16,1.75,3.15,2.16,1.75
cheerless,-2.36,-1.24,-2.41,-2.36,-1.24,-2.41
childish,-1.07,-1.23,2.19,-1.07,-1.23,2.19
clean_cut,1.95,1.37,-0.29,1.95,1.37,-0.29
clever,2.31,2.43,0.70,2.31,2.43,0.70
clumsy,-1.10,-1.19,1.03,-1.10,-1.19,1.03
cocky,-1.83,-0.16,2.05,-1.83,-0.16,2.05
cold,-1.87,-0.59,-1.77,-1.87,-0.59,-1.77
communicative,2.76,2.68,1.12,2.76,2.68,1.12
compassionate,3.17,2.51,0.21,3.17,2.51,0.21
competent,2.81,2.76,0.52,2.81,2.76,0.52
competitive,1.58,1.77,2.18,1.58,1.77,2.18
composed,2.53,2.15,-1.48,2.53,2.15,-1.48
compulsive,-0.57,-0.18,1.87,-0.57,-0.18,1.87
conceited,-2.45,-0.35,1.16,-2.45,-0.35,1.16
confident,3.04,3.14,0.96,3.04,3.14,0.96
confused,-1.50,-1.21,-0.64,-1.50,-1.21,-0.64
conscientious,2.15,1.58,-0.60,2.15,1.58,-0.60
conservative,0.45,0.74,-0.42,0.45,0.74,-0.42
considerate,3.38,2.48,-0.46,3.38,2.48,-0.46
contemptuous,-1.39,-0.30,0.41,-1.39,-0.30,0.41
contented,2.34,1.68,-0.71,2.34,1.68,-0.71
contrite,0.12,0.22,-0.49,0.12,0.22,-0.49
conventional,0.44,-0.09,-0.73,0.44,-0.09,-0.73
cool,1.72,1.56,0.58,1.72,1.56,0.58
cooperative,2.44,1.59,-0.57,2.44,1.59,-0.57
courageous,3.01,3.18,1.37,3.01,3.18,1.37
courteous,3.38,2.42,-0.20,3.38,2.42,-0.20
cowardly,-2.27,-2.75,-1.78,-2.27,-2.75,-1.78
coy,0.07,0.03,-1.06,0.07,0.03,-1.06
crafty,2.18,1.68,0.15,2.18,1.68,0.15
crazy,-0.85,0.05,1.99,-0.85,0.05,1.99
creative,2.81,2.21,0.77,2.81,2.21,0.77
credible,3.14,2.96,-0.18,3.14,2.96,-0.18
critical,0.05,1.33,1.08,0.05,1.33,1.08
crude,-2.11,-0.22,1.19,-2.11,-0.22,1.19
cruel,-3.43,0.71,0.65,-3.43,0.71,0.65
crushed,-2.90,-0.42,-1.14,-2.90,-0.42,-1.14
cultivated,1.79,1.55,-0.14,1.79,1.55,-0.14
cunning,0.81,1.83,0.24,0.81,1.83,0.24
curious,2.42,1.86,0.61,2.42,1.86,0.61
cute,2.22,1.32,0.31,2.22,1.32,0.31
cynical,-1.89,-0.53,-0.21,-1.89,-0.53,-0.21
daring,1.29,1.98,2.10,1.29,1.98,2.10
deceitful,-2.78,0.73,-0.30,-2.78,0.73,-0.30
decent,2.66,1.64,-0.48,2.66,1.64,-0.48
decisive,2.65,2.51,1.43,2.65,2.51,1.43
defensive,-0.15,0.31,0.96,-0.15,0.31,0.96
defiant,-0.78,1.11,1.51,-0.78,1.11,1.51
deflated,-2.33,-1.55,-1.86,-2.33,-1.55,-1.86
dejected,-2.41,-0.78,-1.48,-2.41,-0.78,-1.48
delicate,0.76,-0.63,-2.02,0.76,-0.63,-2.02
delighted,3.39,2.64,1.48,3.39,2.64,1.48
demanding,-0.97,1.00,2.05,-0.97,1.00,2.05
demure,0.70,0.00,-1.09,0.70,0.00,-1.09
dependable,3.24,2.78,0.06,3.24,2.78,0.06
dependent,-1.36,-1.93,-1.10,-1.36,-1.93,-1.10
deprave,-2.25,-0.12,-0.13,-2.25,-0.12,-0.13
depressed,-3.36,-1.86,-2.92,-3.36,-1.86,-2.92
desperate,-2.93,-1.52,-0.51,-2.93,-1.52,-0.51
despondent,-1.94,-1.39,-1.81,-1.94,-1.39,-1.81
determined,2.82,2.83,0.74,2.82,2.83,0.74
devoted,2.95,2.35,-0.30,2.95,2.35,-0.30
diffident,0.27,0.75,-0.64,0.27,0.75,-0.64
dignified,2.44,2.50,-0.14,2.44,2.50,-0.14
diligent,3.10,2.36,-0.09,3.10,2.36,-0.09
dirty,-1.48,-0.73,0.35,-1.48,-0.73,0.35
disabled,-1.35,-1.19,-1.50,-1.35,-1.19,-1.50
disagreeable,-1.39,0.02,1.13,-1.39,0.02,1.13
disappointed,-2.53,-1.11,-1.51,-2.53,-1.11,-1.51
disapproving,-1.53,0.51,0.00,-1.53,0.51,0.00
disconcerted,-1.46,-0.67,-0.22,-1.46,-0.67,-0.22
discontented,-2.11,-0.43,-0.93,-2.11,-0.43,-0.93
