UserID,Condition,Gender,age,grade,race1,race2,momed,daded,momemp,dademp,home,home2,relimp,term_ID,E,P,A
DComm101,3,Male,40 to 49,Not a student,Black or African-American,No additional race information to report,Did not graduate High school,Did not graduate High school,Other,Deceased,No,No,Pretty Important,i_mistress,-.10019,0,.10019
DComm101,3,Male,40 to 49,Not a student,Black or African-American,No additional race information to report,Did not graduate High school,Did not graduate High school,Other,Deceased,No,No,Pretty Important,i_pimp,-1.99993,-2.50002,-1.99993
DComm101,3,Male,40 to 49,Not a student,Black or African-American,No additional race information to report,Did not graduate High school,Did not graduate High school,Other,Deceased,No,No,Pretty Important,b_awaken,-.10019,-.10019,1.79998
DComm101,3,Male,40 to 49,Not a student,Black or African-American,No additional race information to report,Did not graduate High school,Did not graduate High school,Other,Deceased,No,No,Pretty Important,i_cook,1.99993,1.0999399,1.99993
DComm101,3,Male,40 to 49,Not a student,Black or African-American,No additional race information to report,Did not graduate High school,Did not graduate High school,Other,Deceased,No,No,Pretty Important,m_captivated,3.5002,2.69997,3.0001099
DComm101,3,Male,40 to 49,Not a student,Black or African-American,No additional race information to report,Did not graduate High school,Did not graduate High school,Other,Deceased,No,No,Pretty Important,b_antagonize,-2.50002,-1.99993,1.99993
DComm101,3,Male,40 to 49,Not a student,Black or African-American,No additional race information to report,Did not graduate High school,Did not graduate High school,Other,Deceased,No,No,Pretty Important,i_migrant_worker,-.89999002,0,-1.00018
DComm101,3,Male,40 to 49,Not a student,Black or African-American,No additional race information to report,Did not graduate High school,Did not graduate High school,Other,Deceased,No,No,Pretty Important,i_Chinese,1.99993,0,-.10019
DComm101,3,Male,40 to 49,Not a student,Black or African-American,No additional race information to report,Did not graduate High school,Did not graduate High school,Other,Deceased,No,No,Pretty Important,m_promiscuous,-1.99993,-2.30007,2.69997
DComm101,3,Male,40 to 49,Not a student,Black or African-American,No additional race information to report,Did not graduate High school,Did not graduate High school,Other,Deceased,No,No,Pretty Important,i_teammate,2.30007,1.90017,1.99993
DComm101,3,Male,40 to 49,Not a student,Black or African-American,No additional race information to report,Did not graduate High school,Did not graduate High school,Other,Deceased,No,No,Pretty Important,m_delighted,2.8001599,2.30007,-2.69997
DComm101,3,Male,40 to 49,Not a student,Black or African-American,No additional race information to report,Did not graduate High school,Did not graduate High school,Other,Deceased,No,No,Pretty Important,m_conscientious,1.00018,1.0999399,1.0999399
DComm101,3,Male,40 to 49,Not a student,Black or African-American,No additional race information to report,Did not graduate High school,Did not graduate High school,Other,Deceased,No,No,Pretty Important,i_enemy,-2.89992,1.90017,1.90017
DComm101,3,Male,40 to 49,Not a student,Black or African-American,No additional race information to report,Did not graduate High school,Did not graduate High school,Other,Deceased,No,No,Pretty Important,i_blue_collar_worker,2.8001599,1.90017,1.99993
DComm101,3,Male,40 to 49,Not a student,Black or African-American,No additional race information to report,Did not graduate High school,Did not graduate High school,Other,Deceased,No,No,Pretty Important,i_peer,2.89992,1.00018,-2.8001599
DComm101,3,Male,40 to 49,Not a student,Black or African-American,No additional race information to report,Did not graduate High school,Did not graduate High school,Other,Deceased,No,No,Pretty Important,m_offended,-1.79998,-2.30007,-2.1001201
DComm101,3,Male,40 to 49,Not a student,Black or African-American,No additional race information to report,Did not graduate High school,Did not graduate High school,Other,Deceased,No,No,Pretty Important,b_play_with,-2.89992,-2.3998301,2.1001201
DComm101,3,Male,40 to 49,Not a student,Black or African-American,No additional race information to report,Did not graduate High school,Did not graduate High school,Other,Deceased,No,No,Pretty Important,b_delay,-1.00018,.89999002,-2.1998799
DComm101,3,Male,40 to 49,Not a student,Black or African-American,No additional race information to report,Did not graduate High school,Did not graduate High school,Other,Deceased,No,No,Pretty Important,i_girl_scout,1.99993,1.20013,1.00018
DComm101,3,Male,40 to 49,Not a student,Black or African-American,No additional race information to report,Did not graduate High school,Did not graduate High school,Other,Deceased,No,No,Pretty Important,i_brain,2.89992,3.0001099,2.1998799
DComm101,3,Male,40 to 49,Not a student,Black or African-American,No additional race information to report,Did not graduate High school,Did not graduate High school,Other,Deceased,No,No,Pretty Important,m_snobbish,-2.89992,-3.0001099,.10019
DComm101,3,Male,40 to 49,Not a student,Black or African-American,No additional race information to report,Did not graduate High school,Did not graduate High school,Other,Deceased,No,No,Pretty Important,i_bureaucrat,1.99993,-2.1001201,-2.1001201
