Z000000  -0.31  -0.57  -0.19  -0.45  -0.53  -0.26
Z100000   0.47   0.00   0.00   0.31   0.07   0.00
Z010000   0.00   0.37  -0.07   0.00   0.22  -0.06
Z001000   0.00   0.00   0.57   0.00   0.00   0.43
Z000100   0.24   0.16   0.10   0.29   0.07   0.07
Z000010   0.00   0.00  -0.18   0.00   0.16  -0.14
Z000001   0.00   0.21   0.37   0.00   0.13   0.45
Z100100   0.08   0.00   0.00   0.07   0.00   0.02
Z100010  -0.06   0.00   0.00  -0.08   0.00   0.00
Z010100   0.00   0.00   0.02   0.00   0.00   0.00
Z010001  -0.07   0.00   0.00   0.00   0.00   0.00
Z001100  -0.03   0.00   0.00   0.00   0.00   0.00
