Z000000000000  -0.25  -0.14   0.08  -0.13   0.06   0.00  -0.10  -0.43  -0.03  -0.35  -0.06   0.09
Z100000000000   0.35   0.00   0.06   0.10   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
Z010000000000   0.00   0.46  -0.05   0.00   0.13  -0.06   0.00   0.00   0.00   0.00   0.00   0.00
Z001000000000   0.00   0.08   0.65   0.00   0.00   0.27   0.00   0.00   0.00   0.00   0.00   0.07
Z000100000000   0.52  -0.08  -0.08   0.56  -0.12  -0.06   0.17   0.19   0.03   0.11   0.00   0.00
Z000010000000  -0.05   0.46   0.10  -0.06   0.68   0.12   0.00  -0.12   0.00   0.00   0.10   0.00
Z000001000000  -0.09   0.00   0.27  -0.12   0.00   0.61   0.00   0.05   0.05   0.00   0.00   0.00
Z000000100000   0.00   0.00   0.00   0.00   0.00   0.00   0.49  -0.09   0.00   0.00   0.00   0.00
Z000000010000   0.00   0.00   0.00  -0.14   0.00   0.00  -0.14   0.38  -0.05   0.00   0.00   0.00
Z000000001000   0.12   0.00   0.00   0.00   0.00   0.04   0.00   0.08   0.48   0.00   0.00   0.00
Z000000000100   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.08   0.00   0.60  -0.14  -0.07
Z000000000010   0.00   0.00   0.00   0.00   0.09   0.00   0.00   0.00   0.00   0.00   0.66   0.00
Z000000000001   0.07   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  -0.06   0.00   0.74
Z100100000000   0.05   0.00   0.00   0.01   0.00   0.00   0.03   0.01   0.00   0.00   0.00  -0.03
Z100010000000  -0.04   0.00   0.00   0.00   0.00   0.00   0.00   0.03   0.00   0.00   0.00   0.00
Z100000100000   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  -0.02   0.00   0.00   0.00
Z010100000000   0.00   0.05   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
Z010010000000   0.00  -0.07   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
Z010001000000   0.00   0.00   0.00   0.00   0.00   0.00   0.00  -0.15   0.00   0.00   0.00   0.00
Z010000100000   0.08   0.00   0.00   0.09   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
Z010000010000   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  -0.03   0.00   0.00   0.00
Z010000001000   0.00   0.00   0.00   0.00   0.03   0.00   0.00   0.00   0.00   0.00   0.00   0.00
Z001010000000   0.00   0.00  -0.06   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
Z001001000000   0.00  -0.03  -0.05   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
Z000100100000   0.12   0.02   0.00   0.11   0.02   0.00   0.04   0.03   0.01   0.03   0.00   0.00
Z000100010000  -0.06  -0.02   0.00  -0.05   0.00   0.00   0.00   0.02   0.00   0.00   0.00   0.00
Z000010100000  -0.05   0.00   0.00   0.00   0.00   0.00  -0.02   0.00   0.00   0.00   0.00   0.00
Z000010010000  -0.01   0.00   0.00   0.04   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
Z000010001000   0.00   0.03   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.06   0.00
Z000001010000   0.00   0.00   0.00   0.03   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
Z100100100000   0.02   0.01   0.00   0.02   0.01   0.00   0.01   0.00   0.00   0.00   0.00   0.00
Z100010010000   0.03   0.00   0.00   0.02   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
Z010010010000   0.00   0.00   0.00  -0.02   0.00   0.02   0.00  -0.02   0.00   0.00   0.00   0.00
Z010010001000   0.00   0.00  -0.02   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
